Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
CL 426,Biochemical Engineering,3,0,0,4,Karthik Subramaniam(I),,8,,"D1,D2
 (7/106)",,,,,,,
CL 427,Formulation Science and Engineering,3,0,0,4,Prachi Thareja(I),,13,,"C1,C2
 (13/124)",,,course plan_formulations,,,,
BS 401,Nanoscale Science,3,0,0,4,Kabeer Jasuja(I),,24,,"G1,G2
 (10/102)",,,BS 401 Course Plan,,,,
CL 601,Advanced Transport Phenomena,3,0,0,4,Pratyush Dayal(I),,21,,"A1,A2
 (7/208)",,,Course Plan,,,,
CL 602,Advanced Thermodynamics,3,0,0,4,Mithun Radhakrishna(I),,21,,"F1,F2
 (7/210)",,,,,,,
CL 604,Advanced Reaction Engineering,3,0,0,4,Abinaya Sampath(I),,24,,"B1,B2
 (7/103)",,,Course plan,,,,
ES 604,Engineering Optimization,3,0,0,4,Hari Ganesh(I),,11,,"L1,L2
 (7/205)",,,https://drive.google.com/file/d/1fZg-tqK0_euaMO5IUMs-brUUBudhUYoU/view?usp=drive_link,,,,
ES 662,"Flexible Electronics: Materials, Methods and Devices",3,0,0,4,Biswajit Saha(I),,16,,"K1,K2
 (7/106)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/bsaha_iitgn_ac_in/ETYbV87oTkxGod9_S9DDjEoBuxsSIw5hZwP1cK1OhlX9XQ?e=i6IE9b,,,,
,,,,,,,,,,,,,,,,,
Additional courses CSE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CS 431,Computer and Network Security,3,0,0,4,Abhishek Bichawat(I),,81,,"M1,M2
 (10/201)",,,Course Plan,,,,
CS 434,Software Engineering and Testing,3,1,0,4,Shouvick Mondal(I+T),,40,,"J1,J2
 (11/101)","A2
 (7/210)",,Course Plan,,,,
CS 435,Human-Computer Interaction,3,0,0,4,Yogesh Meena(I),,40,,"M1,M2
 (11/101)",,,Course Plan,,,,
CS 610,Algorithms,3,0,0,4,Manoj Gupta(I),,57,,"C1,C2
 (11/101)",,,Course Plan,,,,
CS 612,Computer Systems,3,0,0,4,Abhishek Bichawat(I),,22,,"G1,G2
 (7/203)",,,Course Plan,,,,
CS 613,Natural Language Processing,3,0,0,4,Mayank Singh(I),,89,,"K1,K2
 (10/202)",,,Course Plan,,,,
